食物類
ஆப்பிள் | 蘋果
வாழைப்பழம் | 香蕉
மாட்டிறைச்சி | 牛肉
ரொட்டி | 麵包
கேக் | 蛋糕
கேரட் | 紅蘿蔔
பீர் | 啤酒
காபி | 咖啡
சாக்லேட் | 巧克力
முட்டை | 蛋
உணவு | 食物
பழம் | 水果
திராட்சை | 葡萄
மாம்பழம் | 芒果
ஹாம்பர்கர் | 漢堡
ஐஸ்கிரீம் | 冰淇淋動物類
எறும்பு | 螞蟻
பறவை | 鳥
கரடி | 熊
தேனீ | 蜜蜂
நாய் | 狗
பூனை | 貓
யானை | 大象
குதிரை | 馬
வாத்து | 鴨子
நீர்யானை | 河馬
கழுகு | 老鷹
நரி | 狐狸
தவளை | 青蛙
ஆடு | 山羊
கங்காரு | 袋鼠
கோலா | 無尾熊

場所類
விமான நிலையம் | 機場
பேக்கரி | 麵包店
குளியலறை | 浴室
கடற்கரை | 海灘
படுக்கையறை | 臥室
தேவாலயம் | 教堂
வகுப்பறை | 教室
நூலகம் | 圖書館
மருத்துவமனை | 醫院
ஹோட்டல் | 飯店
வணிக வளாகம் | 購物中心
வாகன நிறுத்துமிடம் | 車庫
தோட்டம் | 花園
காடு | 森林

人物與家庭
நடிகை | 女演員
சகோதரன் | 兄弟
தந்தை | 父親
தாய் | 母親
மகள் | 女兒
சிறுவன் | 男孩
பெண் | 女孩
கணவன் | 丈夫
இல்லத்தரசி | 全職家庭主婦
பேரன் | 孫子
பேத்தி | 孫女
தாத்தா | 祖父
பாட்டி | 祖母
குழந்தை | 小孩
நண்பன் | 朋友

時間日期
ஏப்ரல் | 四月
ஆகஸ்ட் | 八月
டிசம்பர் | 十二月
ஜனவரி | 一月
ஜூலை | 七月
ஜூன் | 六月
வெள்ளிக்கிழமை | 星期五
நாள் | 日/天
மாலை | 傍晚/晚上
மதியம் | 下午
காலை உணவு | 早餐
மதிய உணவு | 午餐
இரவு உணவு | 晚餐
நூற்றாண்டு | 世紀

顏色與形容詞
கருப்பு | 黑色的
நீலம் | 藍色的
பழுப்பு | 褐色的
